COV,0.016395634468666223
GOOG,0.014856884972771652
BIDU,0.01627905928367886
MSFT,0.014749242696524133
AAPL,0.015694780271549094
GS,0.015319319873685792
UTSI,0.016815195734629747
WMT,0.016305917647503054
BABA,0.017499242107467235
PEP,0.01515410031518215
XOM,0.014563757536247108
BA,0.018123526691904698
NKE,0.016668563962443195
QCOM,0.015591538887332978
APA,0.017720786132879453
SBUX,0.014297458853233962
AVP,0.015021995690228366
HSY,0.016792976247771638
MAT,0.0159148656630708
GCI,0.01799372315391859
SNP,0.016909847477596412
SOHU,0.018819964947724605
OXY,0.013423694375492547
KMI,0.015067426102958031
UPS,0.016840528192845053
FDX,0.017810936846259166
DSX,0.023600387518481602
AAL,0.017159676453976678
NTES,0.014160203577720156
SINA,0.018611588884055362
EDU,0.01944206501028227
JD,0.017401773787818136
JRJC,0.01497309714498908
AMZN,0.013831618293024022
INTC,0.018262747505650784
IBM,0.015645563164977207
EBAY,0.01695921920108918
ORCL,0.016167400096697086
TXN,0.013587087539784073
CSCO,0.018028035045803612
C,0.01612645437149649
BAC,0.015429541369307352
JPM,0.013493275770805538
MS,0.014078693368945943
AIG,0.018887427506504833
JNJ,0.01640863789917456
PFE,0.016263089406323105
KO,0.0157885426788303
MDT,0.016085287308327374
ABT,0.020267907473408387
COP,0.015374567532545904
SLB,0.014787800944951867
DUK,0.01482897298969452
HMC,0.015096048550813276
TM,0.017122584149210612
TSLA,0.013686913744277732
GE,0.014634433131617275
PG,0.016528175092659875
EL,0.02075764645216891
GD,0.018121551640675075
CL,0.014180678346439001
DD,0.014401835025723203
T,0.015948267553468665
HPQ,0.016235287435573564
S,0.01549562838412856
ERIC,0.01701306549010894
XRX,0.014526422471025424
VOD,0.015045048615440312
ADS,0.015087993490698328
CTSH,0.01524020658742816
NOK,0.01819672991223403
ADBE,0.016505260355769234
EMC,0.014323733613111116
VZ,0.021056007701592945
USB,0.016101891667102994
RF,0.014882261387745274
V,0.018271060304910255
BK,0.018955793839893244
WFC,0.014350597824656674
MET,0.018488579423999285
ALL,0.015540811083946114
HIG,0.01754488483082151
NYX,0.015536890585511108
AXP,0.016531540853882525
MA,0.0162733907228913
CI,0.017259891220167165
COF,0.014081990873022254
BMY,0.016700208764206796
MO,0.0166811857813069
UNH,0.01578636060848347
MRK,0.016587553666173333
AMGN,0.017789746323755715
CVS,0.015307071903622656
BAX,0.01797272163389584
CPB,0.01922675848128275
HNZ,0.015477195622658256
MCD,0.016650552376276707
SLE,0.01586086263360898
GM,0.015692630653238723
F,0.014813209879380316
CVX,0.013898054589521812
CAT,0.017049564407795006
HAL,0.013502713626423664
AES,0.013965887639729127
WMB,0.015076283361037222
SO,0.02033027770484603
EP,0.01780894668348074
ETR,0.01809734007070128
EXC,0.014262782072846574
AEP,0.017128074685175687
TWX,0.01953267053134846
DIS,0.013636780489640106
CCU,0.018394723724248913
NWS,0.01592940781701414
CBS,0.013675212277386975
CMCSA,0.015516133061672158
AA,0.015786556650040407
HON,0.015519206926026135
RTN,0.016998224126639816
MMM,0.015093335256349035
HD,0.016736110874996823
ROK,0.015621273229765125
IP,0.018774093430007847
TGT,0.01687815378069714
ATI,0.01440033198424606
NSC,0.014414412120081344
WY,0.015777310080497896
UTX,0.015341742020814831
CYD,0.017616986145465946
CEO,0.018365453332230254
HNP,0.014821376553514645
ZNH,0.015544840330063573
SHI,0.01828003962976417
JOBS,0.014572414576284604
CHNR,0.015214735864599484
LFC,0.01686112078233954
XIN,0.014622779477326856
CEA,0.01380007919211552
CHA,0.015683967825886224
ASX,0.014836582332455958
CHT,0.014990833130288263
TSM,0.01938618028783457
HIMX,0.015774430824175817
UMC,0.01901956773188716
SPIL,0.016060066509680712
SIMO,0.01784074402726184
GIGM,0.015954432014577538
