,Date,High,Low,Open,Close_x,Volume,Adj Close,JPM,MS,LIBOR,VIX,SS Close,DJI Close,IXIC Close,GSPC Close,N225 Close,HSI Close,FCHI Close,GDAXI Close,DEXJPUS,DEXCHUS,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum,log_momentum,sentiment,Close_y,Fourier3,Fourier6,Fourier9,Close,ARIMA,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6
0,2012-09-04,43.790000915527344,42.77000045776367,42.90999984741211,43.70000076293945,19553900.0,30.916732788085927,37.0099983215332,15.510000228881836,0.1514,17.98,2043.6490478515625,13035.9404296875,3075.06005859375,1404.93994140625,8775.509765625,19429.91015625,3399.0400390625,6932.580078125,78.35,6.3465,44.080000741141184,45.01380974905833,43.70000076293945,43.70000076293945,0.0,0.8009758628957486,46.61576147484981,43.41185802326681,43.70000076293945,42.70000076293945,3.7541989381020135,0.0,43.70000076293945,48.75771780586175,47.67221856528428,47.73717904810688,43.70000076293945,43.70000076293945,8.521355,-4.152113,2.2024708,1.114639,-0.2069894,-0.092465736
1,2012-09-05,44.22999954223633,43.61999893188477,43.63000106811523,43.79999923706055,14183800.0,30.987489700317386,37.11000061035156,15.68000030517578,0.1514,17.74,2037.6810302734373,13047.48046875,3069.27001953125,1403.43994140625,8679.8203125,19145.0703125,3405.7900390625,6964.68994140625,78.34,6.3489,44.080000741141184,45.01380974905833,43.75192304757925,43.75416660308838,0.002243555509124917,0.8009758628957486,46.61576147484981,43.41185802326681,43.77499961853027,42.79999923706055,3.756538084762063,0.3902298051339761,43.79999923706055,48.72124271324816,47.55055507545981,47.60047117606286,43.79999923706055,43.79999923706055,8.3400135,-4.2475486,2.1504939,1.0332398,0.020117767,-1.1883029
2,2012-09-06,44.33000183105469,43.650001525878906,44.08000183105469,44.150001525878906,15279600.0,31.235109329223643,38.68999862670898,16.25,0.1529,15.6,2051.91796875,13292.0,3135.81005859375,1432.1199951171875,8680.5703125,19209.30078125,3509.8798828125,7167.330078125,78.96,6.3428,44.080000741141184,45.01380974905833,43.89494877980225,43.908661064870365,0.013712285068116614,0.8009758628957486,46.61576147484981,43.41185802326681,44.03461632361778,43.150001525878906,3.764682452891636,0.1956136648545753,44.150001525878906,48.684855374854365,47.42930582796328,47.464809421372024,44.150001525878906,44.150001525878906,7.9781632,-4.036035,1.8581066,1.0927911,-0.25856304,-0.71404094
3,2012-09-07,44.150001525878906,43.5,44.099998474121094,43.72000122070313,12683000.0,30.930896759033203,39.29999923706055,17.079999923706055,0.1524,14.38,2127.761962890625,13306.6396484375,3136.419921875,1437.9200439453125,8871.650390625,19802.16015625,3519.050048828125,7214.5,78.14,6.3428,44.080000741141184,45.01380974905833,43.846041087412914,43.84910852498023,0.003067437567302989,0.8009758628957486,46.61576147484981,43.41185802326681,43.8222511291504,42.72000122070313,3.75466722322645,-0.4896362380841268,43.72000122070313,48.64856489935754,47.308537020162106,47.330283328828926,43.72000122070313,43.72000122070313,8.166892,-3.7794783,1.6761676,1.218573,-1.1675133,0.9879387
4,2012-09-10,44.31999969482422,43.7400016784668,43.790000915527344,44.060001373291016,11247700.0,31.17142677307129,38.7599983215332,16.610000610351562,0.1524,16.28,2134.89306640625,13254.2900390625,3104.02001953125,1429.0799560546875,8869.3701171875,19827.169921875,3506.050048828125,7213.7001953125,78.24,6.3375,44.080000741141184,45.01380974905833,43.895659360208406,43.90640735814014,0.01074799793173753,0.8009758628957486,46.61576147484981,43.41185802326681,43.98140625126106,43.060001373291016,3.762594523828717,0.0,44.060001373291016,48.61238035758392,47.18831491133685,47.196979562066346,44.060001373291016,44.060001373291016,8.074426,-3.885024,1.7829268,0.9596838,-0.61558473,-0.27023944
5,2012-09-11,44.5,44.0,44.18000030517578,44.2400016784668,8053500.0,31.29877853393555,39.599998474121094,17.25,0.1524,16.41,2120.553955078125,13323.3603515625,3104.530029296875,1433.56005859375,8807.3798828125,19857.880859375,3537.300048828125,7310.10986328125,77.78,6.3349,44.080000741141184,45.01380974905833,43.96462838017976,43.9874883283115,0.02285994813173886,0.8009758628957486,46.61576147484981,43.41185802326681,44.15404001173082,43.2400016784668,3.766766031588463,0.0,44.2400016784668,48.57631077972006,47.06870577415096,47.064981808767044,44.2400016784668,44.2400016784668,7.8918047,-3.8466315,1.715555,0.8495126,-0.7103576,-0.30104056
6,2012-09-12,44.90999984741211,44.0,44.290000915527344,44.88999938964844,14794000.0,31.75864601135254,39.91999816894531,17.420000076293945,0.1524,15.8,2126.553955078125,13333.349609375,3114.31005859375,1436.56005859375,8959.9599609375,20075.390625,3543.7900390625,7343.52978515625,77.86,6.3261,44.080000741141184,45.01380974905833,44.12920081721761,44.18888051400358,0.059679696785970286,0.8009758628957486,46.61576147484981,43.41185802326681,44.64490404329711,43.88999938964844,3.78168648979375,0.18302083686982684,44.88999938964844,48.54036515252823,46.94977584572752,46.93437069596187,44.88999938964844,44.88999938964844,7.5216875,-3.9124806,1.4841269,0.73385274,-0.35285378,-0.7185808
7,2012-09-13,45.63999938964844,44.83000183105469,44.849998474121094,45.58000183105469,20599500.0,32.24680709838867,41.400001525878906,17.899999618530273,0.1524,14.05,2110.37890625,13539.8603515625,3155.830078125,1459.989990234375,8995.150390625,20047.630859375,3502.090087890625,7310.31982421875,77.41,6.3294,44.34857232230051,45.01380974905833,44.362960808966896,44.47918609137161,0.11622528240472008,0.8009758628957486,46.61576147484981,43.41185802326681,45.26839759873182,44.58000183105469,3.7972853690311785,-0.7411348296868772,45.58000183105469,48.50455241656719,46.83159127836786,46.805223715618354,45.58000183105469,45.58000183105469,6.9027705,-4.0876117,1.2800715,0.632183,-1.2429482,1.7440435
8,2012-09-14,45.22999954223633,44.29999923706055,45.22999954223633,44.52999877929688,21971800.0,31.503948211669922,41.56999969482422,18.239999771118164,0.1539,14.51,2123.846923828125,13593.3701171875,3183.949951171875,1465.77001953125,9159.3896484375,20629.779296875,3581.580078125,7412.1298828125,78.22,6.3145,44.452857971191406,45.01380974905833,44.387719503143856,44.48923864961792,0.10151914647407524,0.8009758628957486,46.61576147484981,43.41185802326681,44.776106708140155,43.52999877929688,3.7734503275214046,-0.3200161715185048,44.52999877929688,48.4688814634194,46.714218089946,46.67761516068778,44.52999877929688,44.52999877929688,7.3818655,-3.6235964,1.1993245,0.8032004,-0.7263231,0.6568883
9,2012-09-18,44.93000030517578,44.45000076293945,44.68000030517578,44.90999984741211,9088400.0,31.77279090881348,41.2599983215332,17.6299991607666,0.1519,14.18,2059.54296875,13564.6396484375,3177.800048828125,1459.3199462890625,9123.76953125,20601.9296875,3512.68994140625,7347.68994140625,78.59,6.3187,44.56142915998186,45.01380974905833,44.45978910746128,44.56897273307344,0.10918362561215388,0.8009758628957486,46.61576147484981,43.41185802326681,44.865370312675104,43.90999984741211,3.7821420810986113,0.0,44.90999984741211,48.39800021043242,46.48216894965472,46.42729419423992,44.90999984741211,44.90999984741211,7.335104,-3.796665,1.1451528,0.6998039,-0.8395385,-0.36308208
