,Date,High,Low,Open,Close_x,Volume,Adj Close,JPM,MS,LIBOR,VIX,SS Close,DJI Close,IXIC Close,GSPC Close,N225 Close,HSI Close,FCHI Close,GDAXI Close,DEXJPUS,DEXCHUS,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum,log_momentum,sentiment,Close_y,Fourier3,Fourier6,Fourier9,Close,ARIMA,PCA1,PCA2,PCA3,PCA4,PCA5
0,2012-09-04,18.040000915527344,17.639999389648438,17.889999389648438,17.700000762939453,6679600.0,15.314605712890625,37.0099983215332,15.510000228881836,0.1514,17.98,2043.6490478515625,13035.9404296875,3075.06005859375,1404.93994140625,8775.509765625,19429.91015625,3399.0400390625,6932.580078125,78.35,6.3465,18.775714329310826,19.464285714285715,17.700000762939453,17.700000762939453,0.0,0.8202558458175351,21.104797405920785,17.823774022650646,17.700000762939453,16.700000762939453,2.8154087651077058,0.5541635713210438,17.700000762939453,31.358607223677588,30.54900231081852,31.114150854302142,17.700000762939453,17.700000762939453,11.874396,2.5352921,0.25906712,-2.4293602,2.4815044
1,2012-09-05,18.450000762939453,18.030000686645508,18.11000061035156,18.049999237060547,11341100.0,15.61743450164795,37.11000061035156,15.68000030517578,0.1514,17.74,2037.6810302734373,13047.48046875,3069.27001953125,1403.43994140625,8679.8203125,19145.0703125,3405.7900390625,6964.68994140625,78.34,6.3489,18.775714329310826,19.464285714285715,17.881730739886944,17.889583269755047,0.007852529868099367,0.8202558458175351,21.104797405920785,17.823774022650646,17.962499618530273,17.049999237060547,2.8361501589823432,0.0,18.049999237060547,31.24887783166892,30.30054922090876,30.767958737516853,18.049999237060547,18.049999237060547,12.037833,2.5568678,0.6977179,1.0811745,1.3642498
2,2012-09-06,18.84000015258789,18.149999618530273,18.200000762939453,18.6200008392334,9080400.0,16.11061668395996,38.68999862670898,16.25,0.1529,15.6,2051.91796875,13292.0,3135.81005859375,1432.1199951171875,8680.5703125,19209.30078125,3509.8798828125,7167.330078125,78.96,6.3428,18.775714329310826,19.464285714285715,18.146984018557998,18.174665415810107,0.02768139725210617,0.8202558458175351,21.104797405920785,17.823774022650646,18.417692771324734,17.6200008392334,2.8690346681376235,0.0,18.6200008392334,31.13959104908853,30.053419351913284,30.42210534836813,18.6200008392334,18.6200008392334,11.6325655,2.2081454,0.12020443,0.7430836,1.0948428
3,2012-09-07,19.63999938964844,18.75,18.770000457763672,19.46999931335449,10917900.0,16.846059799194336,39.29999923706055,17.079999923706055,0.1524,14.38,2127.761962890625,13306.6396484375,3136.419921875,1437.9200439453125,8871.650390625,19802.16015625,3519.050048828125,7214.5,78.14,6.3428,18.775714329310826,19.464285714285715,18.516841279770922,18.583551705020593,0.06671042524967419,0.8202558458175351,21.104797405920785,17.823774022650646,19.12799968719482,18.46999931335449,2.9161477570348886,0.0,19.46999931335449,31.03076169463717,29.807726048279893,30.076935169039718,19.46999931335449,19.46999931335449,11.444047,1.9197038,0.07751622,0.94687647,0.91164374
4,2012-09-10,19.46999931335449,19.020000457763672,19.350000381469727,19.040000915527344,7935200.0,16.47401237487793,38.7599983215332,16.610000610351562,0.1524,16.28,2134.89306640625,13254.2900390625,3104.02001953125,1429.0799560546875,8869.3701171875,19827.169921875,3506.050048828125,7213.7001953125,78.24,6.3375,18.775714329310826,19.464285714285715,18.638164157126507,18.70756732417645,0.06940316704994842,0.8202558458175351,21.104797405920785,17.823774022650646,19.069091418557925,18.040000915527344,2.892591565384328,0.0,19.040000915527344,30.922404550289677,29.56358167627395,29.732793482445842,19.040000915527344,19.040000915527344,11.4029875,2.0284495,0.1171511,0.63154805,1.0617179
5,2012-09-11,19.299999237060547,19.059999465942386,19.100000381469727,19.21999931335449,5892800.0,16.629753112792972,39.599998474121094,17.25,0.1524,16.41,2120.553955078125,13323.3603515625,3104.530029296875,1433.56005859375,8807.3798828125,19857.880859375,3537.300048828125,7310.10986328125,77.78,6.3349,18.775714329310826,19.464285714285715,18.75470109836824,18.832115256493488,0.07741415812525076,0.8202558458175351,21.104797405920785,17.823774022650646,19.169834875798486,18.21999931335449,2.9025198541454498,0.0,19.21999931335449,30.814534358354702,29.32109754158645,29.39002573978517,19.21999931335449,19.21999931335449,11.233879,1.9313061,-0.07687978,0.37343302,1.021186
6,2012-09-12,19.559999465942386,19.270000457763672,19.3700008392334,19.32999992370605,7233400.0,16.724931716918945,39.91999816894531,17.420000076293945,0.1524,15.8,2126.553955078125,13333.349609375,3114.31005859375,1436.56005859375,8959.9599609375,20075.390625,3543.7900390625,7343.52978515625,77.86,6.3261,18.775714329310826,19.464285714285715,18.857015012184515,18.94321647801645,0.08620146583193034,0.8202558458175351,21.104797405920785,17.823774022650646,19.2766604201028,18.32999992370605,2.9085390576893686,0.0,19.32999992370605,30.707165818517776,29.080383807881155,29.04897692385647,19.32999992370605,19.32999992370605,11.238133,1.7977588,-0.06031337,0.52891195,0.9656409
7,2012-09-13,19.989999771118164,18.959999084472656,19.31999969482422,19.90999984741211,11524800.0,17.226762771606445,41.400001525878906,17.899999618530273,0.1524,14.05,2110.37890625,13539.8603515625,3155.830078125,1459.989990234375,8995.150390625,20047.630859375,3502.090087890625,7310.31982421875,77.41,6.3294,19.09142848423549,19.464285714285715,19.026676960340946,19.144969266074632,0.1182923057336822,0.8202558458175351,21.104797405920785,17.823774022650646,19.69895106873861,18.90999984741211,2.9396908746012023,0.0,19.90999984741211,30.600313584867312,28.84154941635183,28.709990909210443,19.90999984741211,19.90999984741211,11.277406,1.7152086,0.019619191,0.9657747,0.7059174
8,2012-09-14,20.690000534057614,19.959999084472656,20.0,20.34000015258789,9032900.0,17.598817825317386,41.56999969482422,18.239999771118164,0.1539,14.51,2123.846923828125,13593.3701171875,3183.949951171875,1465.77001953125,9159.3896484375,20629.779296875,3581.580078125,7412.1298828125,78.22,6.3145,19.41857147216797,19.464285714285715,19.221340288733288,19.381388910130344,0.16004862139705267,0.8202558458175351,21.104797405920785,17.823774022650646,20.126338838186342,19.34000015258789,2.9621754979149046,-0.9875780902945284,20.34000015258789,30.49399226290388,28.60470200635889,28.37340982022824,20.34000015258789,20.34000015258789,10.947504,1.2753215,-0.055823423,5.982869,-1.232175
9,2012-09-18,20.0,19.559999465942386,19.93000030517578,19.68000030517578,7071800.0,17.027763366699222,41.2599983215332,17.6299991607666,0.1519,14.18,2059.54296875,13564.6396484375,3177.800048828125,1459.3199462890625,9123.76953125,20601.9296875,3512.68994140625,7347.68994140625,78.59,6.3187,19.5699999673026,19.464285714285715,19.284630907007564,19.437975653437807,0.1533447464302391,0.8202558458175351,21.104797405920785,17.823774022650646,19.828774776905803,18.68000030517578,2.9274534491377286,0.0,19.68000030517578,30.283000515035656,28.13739171118781,27.708818308778962,19.68000030517578,19.68000030517578,11.065667,1.4658228,-0.36094612,0.41627207,0.6281191
10,2012-09-19,19.979999542236328,19.649999618530273,19.799999237060547,19.670000076293945,4412300.0,17.019111633300778,41.34000015258789,17.569999694824222,0.1519,13.88,2067.8310546875,13577.9599609375,3182.6201171875,1461.050048828125,9232.2099609375,20841.91015625,3531.820068359375,7390.759765625,78.4,6.3091,19.598571504865372,19.464285714285715,19.33461341034914,19.480430528316496,0.14581711796735775,0.8202558458175351,21.104797405920785,17.823774022650646,19.722924378969303,18.670000076293945,2.9269179616400773,0.0,19.670000076293945,30.17835903003414,27.90713689778853,27.38147760023816,19.670000076293945,19.670000076293945,10.935904,1.307108,-0.6675637,0.09654643,0.60372806
11,2012-09-20,19.46999931335449,19.13999938964844,19.440000534057614,19.25,7208000.0,16.655712127685547,41.25,17.209999084472653,0.1514,14.07,2024.8370361328125,13596.9296875,3175.9599609375,1460.260009765625,9086.98046875,20590.919921875,3509.919921875,7389.490234375,78.3,6.3036,19.628571374075754,19.464285714285715,19.32421731968403,19.43946073685289,0.115243417168859,0.8202558458175351,21.104797405920785,17.823774022650646,19.40764086639488,18.25,2.9041650800285006,0.0,19.25,30.07430633242364,27.67928505941185,27.057879964940767,19.25,19.25,11.239605,1.4523252,-0.41859028,0.4432192,0.69185394
12,2012-09-21,19.530000686645508,19.229999542236328,19.450000762939453,19.38999938964844,8435200.0,16.776844024658207,40.88000106811523,17.079999923706055,0.1514,13.98,2026.68994140625,13579.4697265625,3179.9599609375,1460.1500244140625,9110.0,20734.939453125,3530.719970703125,7451.6201171875,78.17,6.3051,19.652857099260604,19.464285714285715,19.33192367731501,19.430872367967183,0.09894869065217192,0.8202558458175351,21.104797405920785,17.823774022650646,19.39587987452046,18.38999938964844,2.911807005426911,0.0,19.38999938964844,29.970856739299112,27.45393617839537,26.738349154036108,19.38999938964844,19.38999938964844,11.279035,1.4294891,-0.3569181,0.6106306,0.7198906
13,2012-09-24,19.530000686645508,19.270000457763672,19.270000457763672,19.350000381469727,5721000.0,16.74223518371582,41.22999954223633,17.040000915527347,0.1514,14.15,2033.1920166015625,13558.919921875,3160.780029296875,1456.8900146484375,9069.2900390625,20694.69921875,3497.219970703125,7413.16015625,77.9,6.309,19.655714307512557,19.464285714285715,19.333953906318225,19.417102450764283,0.08314854444605757,0.8202558458175351,21.104797405920785,17.823774022650646,19.36529353942513,18.350000381469727,2.90962959528912,0.0,19.350000381469727,29.868024500859214,27.23118848556228,26.423203337388557,19.350000381469727,19.350000381469727,11.199145,1.4495338,-0.58641773,0.27178043,0.7064809
14,2012-09-25,19.489999771118164,18.76000022888184,19.38999938964844,18.809999465942386,6878900.0,16.27501106262207,40.54999923706055,16.600000381469727,0.1509,15.43,2029.29296875,13457.5498046875,3117.72998046875,1441.5899658203125,9091.5400390625,20698.6796875,3513.81005859375,7425.10986328125,77.91,6.3057,19.498571395874023,19.464285714285715,19.27727487035867,19.31540230756621,0.03812743720754242,0.8202558458175351,21.104797405920785,17.823774022650646,18.99509746463703,17.809999465942386,2.87976006731518,0.0,18.809999465942386,29.76582379729439,27.0111383903132,26.112754479824556,18.809999465942386,18.809999465942386,11.428016,1.5814815,-0.31675494,0.48843813,0.94870085
15,2012-09-26,18.8799991607666,18.56999969482422,18.809999465942386,18.68000030517578,5278100.0,16.162530899047848,40.2400016784668,16.430000305175778,0.1509,16.81,2004.1719970703125,13413.509765625,3093.699951171875,1433.3199462890625,8906.7001953125,20527.73046875,3414.840087890625,7276.509765625,77.78,6.3015,19.261428560529435,19.464285714285715,19.214795044347106,19.210397116809226,-0.004397927537880264,0.8202558458175351,21.104797405920785,17.823774022650646,18.785032686782934,17.68000030517578,2.8724340744705708,0.0,18.68000030517578,29.66426873565659,26.793880412329546,25.80730772511867,18.68000030517578,18.68000030517578,11.535926,1.7911041,-0.2408893,0.30161685,1.0820225
16,2012-09-27,19.450000762939453,19.0,19.209999084472656,19.299999237060547,12411700.0,16.698974609375,40.68000030517578,16.84000015258789,0.1516,14.84,2056.322998046875,13485.9697265625,3136.60009765625,1447.1500244140625,8949.8701171875,20762.2890625,3439.320068359375,7290.02001953125,77.62,6.3021,19.207142693655832,19.464285714285715,19.22344401398459,19.225037501525733,0.0015934875411431904,0.8202558458175351,21.104797405920785,17.823774022650646,19.12834372295978,18.299999237060547,2.906901018156693,-0.09106531752425072,19.299999237060547,29.56337334671249,26.57950711495224,25.50716078917189,19.299999237060547,19.299999237060547,11.686468,1.6295485,0.05299108,1.6341031,0.7595497
17,2012-09-28,19.899999618530273,19.3799991607666,19.57999992370605,19.440000534057614,19134600.0,16.820106506347653,40.47999954223633,16.739999771118164,0.1516,15.73,2086.1689453125,13437.1298828125,3116.22998046875,1440.6700439453125,8870.16015625,20840.380859375,3354.820068359375,7216.14990234375,77.92,6.2848,19.174285616193497,19.464285714285715,19.2448394163676,19.25982885979504,0.014989443427438687,0.8202558458175351,21.104797405920785,17.823774022650646,19.33611493089463,18.440000534057614,2.914522247090357,0.0,19.440000534057614,29.46315158177891,26.36810904029593,25.21260336390381,19.440000534057614,19.440000534057614,12.018815,1.7921385,0.8264879,1.9812611,1.0265343
18,2012-10-09,21.40999984741211,20.899999618530273,21.299999237060547,20.979999542236328,8054400.0,18.152559280395508,41.38000106811523,17.350000381469727,0.1531,16.37,2115.22900390625,13473.5302734375,3065.02001953125,1441.47998046875,8769.58984375,20937.279296875,3382.780029296875,7234.52978515625,78.23,6.2877,19.421428407941548,19.464285714285715,19.412133960080663,19.536025108136066,0.12389114805539947,0.8202558458175351,21.104797405920785,17.823774022650646,20.432038006065348,19.979999542236328,2.9947317503093127,0.0,20.979999542236328,28.78161444812909,24.978781563117114,23.329594115251503,20.979999542236328,20.979999542236328,11.131619,1.5780321,0.057395555,0.49910986,0.5938179
19,2012-10-10,21.200000762939453,20.8700008392334,21.0,21.020000457763672,8741400.0,18.18717193603516,41.77000045776367,17.399999618530273,0.1525,16.29,2119.94189453125,13344.9697265625,3051.780029296875,1432.56005859375,8596.23046875,20919.599609375,3365.8701171875,7205.22998046875,78.26,6.2831,19.654285703386574,19.464285714285715,19.563767991823035,19.77270723502797,0.2089392432049344,0.8202558458175351,21.104797405920785,17.823774022650646,20.824012973976647,20.020000457763672,2.9967317967523925,0.0,21.020000457763672,28.68727333114277,24.79418230343381,23.089033456609172,21.020000457763672,21.020000457763672,11.201418,1.5543462,0.18170625,0.539813,0.4507576
20,2012-10-11,21.690000534057614,21.15999984741211,21.309999465942386,21.5,8768500.0,18.60247611999512,42.099998474121094,17.860000610351562,0.1525,15.59,2102.867919921875,13326.3896484375,3049.409912109375,1432.8399658203125,8546.7802734375,20999.05078125,3413.719970703125,7281.7001953125,78.44,6.2765,19.961428506033762,19.464285714285715,19.742747990454195,20.04664990638628,0.3039019159320837,0.8542949147519249,21.172875543789566,17.755695884781865,21.27467099136864,20.5,3.0204248861443626,0.0,21.5,28.59372729439282,24.61327241906366,22.85621759566909,21.5,21.5,11.048626,1.4047115,0.19743398,0.48018909,0.21030387
21,2012-10-12,21.549999237060547,21.06999969482422,21.34000015258789,21.32999992370605,7260000.0,18.45539665222168,41.61999893188477,17.309999465942386,0.1525,16.14,2104.931884765625,13328.849609375,3044.110107421875,1428.5899658203125,8534.1201171875,21136.4296875,3389.080078125,7232.490234375,78.31,6.267,20.321428571428573,19.637142817179363,19.88682353677317,20.24922249029685,0.3623989535236767,0.8654373304932627,21.368017478165893,17.906268156192837,21.311556946261426,20.32999992370605,3.012097623887479,0.0,21.32999992370605,28.500989317032428,24.43611909454566,22.63132679926529,21.32999992370605,21.32999992370605,11.037006,1.4013989,0.20498416,0.2860286,0.1569991
22,2012-10-15,21.59000015258789,21.280000686645508,21.46999931335449,21.559999465942386,4573000.0,18.654399871826172,42.38000106811523,17.75,0.1535,15.27,2098.702880859375,13424.23046875,3064.179931640625,1440.1300048828125,8577.9296875,21148.25,3420.280029296875,7261.25,78.76,6.27,20.73285702296666,19.804285685221355,20.03620432608932,20.4552999042568,0.4190955781674788,0.9175096151729258,21.63930491556721,17.969266454875505,21.477185292717166,20.559999465942386,3.023347414611399,0.0,21.559999465942386,28.40907226289637,24.26278691030931,22.414527971703595,21.559999465942386,21.559999465942386,10.764574,1.2655845,-0.08844499,-0.09046685,-0.058533072
23,2012-10-16,22.049999237060547,21.649999618530273,21.75,21.899999618530273,7107600.0,18.94857406616211,42.83000183105469,17.8700008392334,0.1545,15.22,2098.80810546875,13551.7802734375,3101.169921875,1454.9200439453125,8701.3095703125,21207.0703125,3500.93994140625,7376.27001953125,78.92,6.2637,21.104285648890905,19.96047610328311,20.200111249906296,20.681669123767268,0.4815578738609716,1.0180450090540034,21.996566121391115,17.924386085175108,21.75906150992689,20.899999618530273,3.0397491407186252,0.0,21.899999618530273,28.31798887715599,24.09333780291336,22.205974332229967,21.899999618530273,21.899999618530273,10.6661005,1.245716,0.25129458,0.22435693,-0.1516938
24,2012-10-17,22.239999771118164,21.81999969482422,21.920000076293945,22.09000015258789,7697500.0,19.11296844482422,43.31999969482422,18.489999771118164,0.1535,15.07,2105.617919921875,13557.0,3104.1201171875,1460.9100341796875,8806.5498046875,21416.640625,3527.5,7394.5498046875,78.74,6.254,21.482857022966666,20.08523804800851,20.364039476709145,20.90171409811173,0.53767462140258,1.0945985835532204,22.274435215114952,17.89604088090207,21.97968727170116,21.09000015258789,3.0487990017257656,0.0,22.09000015258789,28.227751782962752,23.927831027681073,22.00580512857308,22.09000015258789,22.09000015258789,10.5745535,1.1382889,0.39651516,0.29155937,-0.24533765
