Date,High,Low,Open,Close,Volume,Adj Close
2012-09-04,8804.4404296875,8729.2197265625,8787.9697265625,8775.509765625,110800,8775.509765625
2012-09-05,8759.259765625,8679.8203125,8756.58984375,8679.8203125,111700,8679.8203125
2012-09-06,8697.0,8646.0302734375,8690.33984375,8680.5703125,119100,8680.5703125
2012-09-07,8871.650390625,8804.26953125,8821.3701171875,8871.650390625,157100,8871.650390625
2012-09-10,8874.5400390625,8838.1796875,8853.1904296875,8869.3701171875,111800,8869.3701171875
2012-09-11,8814.0302734375,8769.4697265625,8811.330078125,8807.3798828125,95400,8807.3798828125
2012-09-12,8959.9599609375,8821.7998046875,8827.2099609375,8959.9599609375,116100,8959.9599609375
2012-09-13,9022.2001953125,8932.099609375,8950.009765625,8995.150390625,95000,8995.150390625
2012-09-14,9193.26953125,9081.7998046875,9097.919921875,9159.3896484375,198000,9159.3896484375
2012-09-18,9180.4404296875,9120.6103515625,9155.490234375,9123.76953125,137600,9123.76953125
2012-09-19,9288.5302734375,9140.75,9166.51953125,9232.2099609375,157200,9232.2099609375
2012-09-20,9215.5703125,9079.1904296875,9174.1904296875,9086.98046875,144600,9086.98046875
2012-09-21,9159.330078125,9103.9501953125,9113.2998046875,9110.0,121700,9110.0
2012-09-24,9091.9697265625,9031.1298828125,9071.3203125,9069.2900390625,105900,9069.2900390625
2012-09-25,9112.5400390625,9023.6298828125,9031.3701171875,9091.5400390625,128400,9091.5400390625
2012-09-26,8971.75,8894.01953125,8941.75,8906.7001953125,109300,8906.7001953125
2012-09-27,8959.25,8844.0595703125,8856.3095703125,8949.8701171875,124700,8949.8701171875
2012-09-28,8989.080078125,8838.849609375,8986.6298828125,8870.16015625,135600,8870.16015625
2012-10-01,8829.349609375,8759.0703125,8815.0703125,8796.509765625,99100,8796.509765625
2012-10-02,8843.330078125,8774.75,8826.3603515625,8786.0498046875,98200,8786.0498046875
2012-10-03,8806.75,8729.5595703125,8778.259765625,8746.8701171875,103500,8746.8701171875
2012-10-04,8865.919921875,8738.3095703125,8783.1298828125,8824.58984375,123500,8824.58984375
2012-10-05,8880.23046875,8805.7900390625,8850.2900390625,8863.2998046875,112100,8863.2998046875
2012-10-09,8840.6904296875,8765.5498046875,8822.3896484375,8769.58984375,124400,8769.58984375
2012-10-10,8660.6796875,8578.25,8650.5498046875,8596.23046875,122300,8596.23046875
