DATE,DEXCHUS
2012-09-04,6.3465
2012-09-05,6.3489
2012-09-06,6.3428
2012-09-07,6.3428
2012-09-10,6.3375
2012-09-11,6.3349
2012-09-12,6.3261
2012-09-13,6.3294
2012-09-14,6.3145
2012-09-17,6.317
2012-09-18,6.3187
2012-09-19,6.3091
2012-09-20,6.3036
2012-09-21,6.3051
2012-09-24,6.309
2012-09-25,6.3057
2012-09-26,6.3015
2012-09-27,6.3021
2012-09-28,6.2848
2012-10-01,6.284
2012-10-02,6.284
2012-10-03,6.284
2012-10-04,6.284
2012-10-05,6.284
2012-10-09,6.2877
2012-10-10,6.2831
2012-10-11,6.2765
2012-10-12,6.267
2012-10-15,6.27
2012-10-16,6.2637
2012-10-17,6.254
2012-10-18,6.2501
2012-10-19,6.2533
2012-10-22,6.2543
2012-10-23,6.2478
2012-10-24,6.2478
2012-10-25,6.2416
2012-10-26,6.248
2012-10-29,6.2384
2012-10-30,6.2396
2012-10-31,6.2372
2012-11-01,6.2393
2012-11-02,6.2411
2012-11-05,6.2452
2012-11-06,6.2454
2012-11-07,6.2435
2012-11-08,6.2427
2012-11-09,6.245
2012-11-13,6.226
2012-11-14,6.225
2012-11-15,6.2329
2012-11-16,6.2354
2012-11-19,6.2343
2012-11-20,6.2324
2012-11-21,6.23
2012-11-23,6.2275
2012-11-26,6.2253
2012-11-27,6.2221
2012-11-28,6.2273
2012-11-29,6.2281
2012-11-30,6.2265
2012-12-03,6.2277
2012-12-04,6.2254
2012-12-05,6.2251
2012-12-06,6.2282
2012-12-07,6.2299
2012-12-10,6.2296
2012-12-11,6.246
2012-12-12,6.2502
2012-12-13,6.2316
2012-12-14,6.241
2012-12-17,6.236
2012-12-18,6.2322
2012-12-19,6.2293
2012-12-20,6.2297
2012-12-21,6.2284
2012-12-24,6.2335
2012-12-26,6.2351
2012-12-27,6.2358
2012-12-28,6.2315
2012-12-31,6.2301
2013-01-02,6.2301
2013-01-03,6.2301
2013-01-04,6.2303
2013-01-07,6.2294
2013-01-08,6.2235
2013-01-09,6.226
2013-01-10,6.223
2013-01-11,6.2156
2013-01-14,6.219
2013-01-15,6.2134
2013-01-16,6.216
2013-01-17,6.2158
2013-01-18,6.2152
2013-01-22,6.2196
2013-01-23,6.2178
2013-01-24,6.2179
2013-01-25,6.2203
2013-01-28,6.224
2013-01-29,6.2259
2013-01-30,6.2204
2013-01-31,6.2186
2013-02-01,6.2265
2013-02-04,6.2326
2013-02-05,6.2292
2013-02-06,6.2315
2013-02-07,6.2323
2013-02-08,6.2323
2013-02-11,6.2323
2013-02-12,6.2323
2013-02-13,6.2323
2013-02-14,6.2323
2013-02-15,6.2323
2013-02-19,6.2438
2013-02-20,6.2371
2013-02-21,6.2403
2013-02-22,6.2346
2013-02-25,6.2337
2013-02-26,6.2293
2013-02-27,6.2271
2013-02-28,6.2213
2013-03-01,6.2226
2013-03-04,6.2246
2013-03-05,6.2208
2013-03-06,6.2173
2013-03-07,6.22
2013-03-08,6.2145
2013-03-11,6.2179
2013-03-12,6.216
2013-03-13,6.2137
2013-03-14,6.2145
2013-03-15,6.2133
2013-03-18,6.2156
2013-03-19,6.2154
2013-03-20,6.2117
2013-03-21,6.2141
2013-03-22,6.212
2013-03-25,6.2105
2013-03-26,6.2108
2013-03-27,6.2138
2013-03-28,6.2143
2013-03-29,6.2108
2013-04-01,6.2078
2013-04-02,6.1992
2013-04-03,6.1962
2013-04-04,6.2005
2013-04-05,6.2005
2013-04-08,6.2031
2013-04-09,6.2022
2013-04-10,6.1938
2013-04-11,6.1961
2013-04-12,6.1914
2013-04-15,6.1866
2013-04-16,6.1824
2013-04-17,6.172
2013-04-18,6.1811
2013-04-19,6.1772
2013-04-22,6.1823
2013-04-23,6.179
2013-04-24,6.1782
2013-04-25,6.1707
2013-04-26,6.1647
2013-04-29,6.1647
2013-04-30,6.1647
2013-05-01,6.1647
2013-05-02,6.156
2013-05-03,6.1555
2013-05-06,6.1665
2013-05-07,6.1539
2013-05-08,6.141
2013-05-09,6.1306
2013-05-10,6.1415
2013-05-13,6.1465
2013-05-14,6.1426
2013-05-15,6.1454
2013-05-16,6.1487
2013-05-17,6.141
2013-05-20,6.1386
2013-05-21,6.1353
2013-05-22,6.1309
2013-05-23,6.1337
2013-05-24,6.1311
2013-05-28,6.1213
2013-05-29,6.1264
2013-05-30,6.1307
2013-05-31,6.134
2013-06-03,6.1312
2013-06-04,6.1285
2013-06-05,6.1276
2013-06-06,6.1359
2013-06-07,6.1333
2013-06-10,6.1333
2013-06-11,6.1333
2013-06-12,6.1333
2013-06-13,6.1341
2013-06-14,6.1306
2013-06-17,6.1248
2013-06-18,6.1283
2013-06-19,6.1264
2013-06-20,6.1277
2013-06-21,6.1328
2013-06-24,6.1441
2013-06-25,6.1448
2013-06-26,6.1468
2013-06-27,6.1488
2013-06-28,6.1374
2013-07-01,6.1325
2013-07-02,6.1327
2013-07-03,6.1301
2013-07-05,6.1324
2013-07-08,6.1337
2013-07-09,6.1293
2013-07-10,6.1336
2013-07-11,6.135
2013-07-12,6.1373
2013-07-15,6.1373
2013-07-16,6.1345
2013-07-17,6.1351
2013-07-18,6.1408
2013-07-19,6.1377
2013-07-22,6.1404
2013-07-23,6.1369
2013-07-24,6.1358
2013-07-25,6.1346
2013-07-26,6.1316
2013-07-29,6.1323
2013-07-30,6.1315
2013-07-31,6.1284
2013-08-01,6.1302
2013-08-02,6.1293
2013-08-05,6.1245
2013-08-06,6.1215
2013-08-07,6.119
2013-08-08,6.1207
2013-08-09,6.1217
2013-08-12,6.1218
2013-08-13,6.1217
2013-08-14,6.1191
2013-08-15,6.1123
2013-08-16,6.1145
2013-08-19,6.1227
2013-08-20,6.1241
2013-08-21,6.1229
2013-08-22,6.1206
2013-08-23,6.12
2013-08-26,6.1202
2013-08-27,6.1212
