,Date,High,Low,Open,Close_x,Volume,Adj Close,JPM,MS,LIBOR,VIX,SS Close,DJI Close,IXIC Close,GSPC Close,N225 Close,HSI Close,FCHI Close,GDAXI Close,DEXJPUS,DEXCHUS,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum,log_momentum,sentiment,Close_y,Fourier3,Fourier6,Fourier9,Close,ARIMA,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6
0,2012-09-04,9.470000267028807,9.350000381469727,9.369999885559082,9.40999984741211,37965000.0,6.354017734527588,37.0099983215332,15.510000228881836,0.1514,17.98,2043.6490478515625,13035.9404296875,3075.06005859375,1404.93994140625,8775.509765625,19429.91015625,3399.0400390625,6932.580078125,78.35,6.3465,9.929999896458217,10.130952335539318,9.40999984741211,9.40999984741211,0.0,0.30023632158541946,10.731424978710157,9.53047969236848,9.40999984741211,8.409999847412111,2.129421455841231,0.1670329118089414,9.40999984741211,11.540326056001627,11.159022556004247,10.846316313737304,9.40999984741211,9.40999984741211,12.670182,-3.6358843,-1.2510333,0.5172273,-0.5150849,-0.2974032
1,2012-09-05,9.619999885559082,9.390000343322754,9.449999809265137,9.56999969482422,40608800.0,6.462056636810303,37.11000061035156,15.68000030517578,0.1514,17.74,2037.6810302734373,13047.48046875,3069.27001953125,1403.43994140625,8679.8203125,19145.0703125,3405.7900390625,6964.68994140625,78.34,6.3489,9.929999896458217,10.130952335539318,9.493076691260702,9.496666431427002,0.0035897401662978727,0.30023632158541946,10.731424978710157,9.53047969236848,9.529999732971193,8.56999969482422,2.148267696999912,-0.014313522361668163,9.56999969482422,11.539647022172431,11.143319995699484,10.816027537146145,9.56999969482422,9.56999969482422,12.521971,-3.68297,-1.0702131,0.48843226,-0.39409155,-0.65627587
2,2012-09-06,9.960000038146973,9.65999984741211,9.65999984741211,9.920000076293944,67996400.0,6.698391914367676,38.68999862670898,16.25,0.1529,15.6,2051.91796875,13292.0,3135.81005859375,1432.1199951171875,8680.5703125,19209.30078125,3509.8798828125,7167.330078125,78.96,6.3428,9.929999896458217,10.130952335539318,9.646466118411633,9.661893650786157,0.015427532374522103,0.30023632158541946,10.731424978710157,9.53047969236848,9.799999970656172,8.920000076293944,2.1882959551450507,-0.3602146525886505,9.920000076293944,11.53919952638371,11.128258134280124,10.786756236706996,9.920000076293944,9.920000076293944,12.058972,-3.631374,-0.782634,0.5901617,-0.20736098,-0.9277974
3,2012-09-07,10.229999542236328,9.93000030517578,9.949999809265137,10.140000343322754,60617000.0,6.84694242477417,39.29999923706055,17.079999923706055,0.1524,14.38,2127.761962890625,13306.6396484375,3136.419921875,1437.9200439453125,8871.650390625,19802.16015625,3519.050048828125,7214.5,78.14,6.3428,9.929999896458217,10.130952335539318,9.784436720458636,9.812813248990595,0.028376528531957487,0.30023632158541946,10.731424978710157,9.53047969236848,10.029500222206117,9.140000343322754,2.2126604230287223,0.0,10.140000343322754,11.538985038703833,11.113847837174866,10.758546942945957,10.140000343322754,10.140000343322754,11.618233,-3.5918531,-1.2266239,0.22417593,-0.39079568,-0.124861166
4,2012-09-10,10.279999732971193,10.0600004196167,10.079999923706056,10.109999656677246,43381300.0,6.826687335968018,38.7599983215332,16.610000610351562,0.1524,16.28,2134.89306640625,13254.2900390625,3104.02001953125,1429.0799560546875,8869.3701171875,19827.169921875,3506.050048828125,7213.7001953125,78.24,6.3375,9.929999896458217,10.130952335539318,9.85993610818427,9.893557733821776,0.03362162563750637,0.30023632158541946,10.731424978710157,9.53047969236848,10.083388273381006,9.109999656677246,2.209372673585505,0.28236952323597064,10.109999656677246,11.539004997900006,11.100099411280718,10.731443276378446,10.109999656677246,10.109999656677246,11.577743,-3.5775442,-1.3308434,0.11060649,-0.37817284,0.20251045
5,2012-09-11,10.25,10.130000114440918,10.18000030517578,10.149999618530273,28165300.0,6.853697299957275,39.599998474121094,17.25,0.1524,16.41,2120.553955078125,13323.3603515625,3104.530029296875,1433.56005859375,8807.3798828125,19857.880859375,3537.300048828125,7310.10986328125,77.78,6.3349,9.929999896458217,10.130952335539318,9.918033515843007,9.955886603163362,0.03785308732035375,0.30023632158541946,10.731424978710157,9.53047969236848,10.127856836214171,9.149999618530273,2.2137538375967485,-0.8021412989247159,10.149999618530273,11.539260810871106,11.087022592941887,10.705487855281557,10.149999618530273,10.149999618530273,11.451376,-3.3627276,-1.2672203,0.11148614,0.4248342,-2.3701832
6,2012-09-12,10.300000190734863,10.170000076293944,10.25,10.210000038146973,28046500.0,6.894210338592527,39.91999816894531,17.420000076293945,0.1524,15.8,2126.553955078125,13333.349609375,3114.31005859375,1436.56005859375,8959.9599609375,20075.390625,3543.7900390625,7343.52978515625,77.86,6.3261,9.929999896458217,10.130952335539318,9.969958248320438,10.012591127104887,0.04263287878445077,0.30023632158541946,10.731424978710157,9.53047969236848,10.182644022132756,9.210000038146973,2.220289854409124,-0.18197377238572865,10.210000038146973,11.539753852084642,11.074626536756847,10.680722204057734,10.210000038146973,10.210000038146973,11.3062,-3.373713,-1.5397083,-0.07922726,-0.01345985,-0.96284276
7,2012-09-13,10.380000114440918,10.119999885559082,10.199999809265137,10.34000015258789,50920200.0,6.981993198394775,41.400001525878906,17.899999618530273,0.1524,14.05,2110.37890625,13539.8603515625,3155.830078125,1459.989990234375,8995.150390625,20047.630859375,3502.090087890625,7310.31982421875,77.41,6.3294,10.0628570829119,10.130952335539318,10.029581168116774,10.080916344333133,0.0513351762163552,0.30023632158541946,10.731424978710157,9.53047969236848,10.287564100579518,9.34000015258789,2.2343062685777846,-0.14030124599391036,10.34000015258789,11.54048546301827,11.06291980525044,10.65718666236488,10.34000015258789,10.34000015258789,11.19052,-3.4368305,-1.3430223,-0.03459736,-0.22221453,-0.48722064
8,2012-09-14,10.56999969482422,10.390000343322754,10.40999984741211,10.529999732971193,55934300.0,7.110287666320801,41.56999969482422,18.239999771118164,0.1539,14.51,2123.846923828125,13593.3701171875,3183.949951171875,1465.77001953125,9159.3896484375,20629.779296875,3581.580078125,7412.1298828125,78.22,6.3145,10.199999945504326,10.130952335539318,10.103754185085442,10.169761022819158,0.0660068377337133,0.30023632158541946,10.731424978710157,9.53047969236848,10.449196067261948,9.529999732971193,2.254444689646298,-0.07106128199631713,10.529999732971193,11.541456951606007,11.051910359445117,10.634920295189957,10.529999732971193,10.529999732971193,10.844759,-3.3735135,-1.3892993,0.04200034,-0.026781572,-0.22089949
9,2012-09-18,10.449999809265137,10.279999732971193,10.300000190734863,10.420000076293944,34937000.0,7.036010265350343,41.2599983215332,17.6299991607666,0.1519,14.18,2059.54296875,13564.6396484375,3177.800048828125,1459.3199462890625,9123.76953125,20601.9296875,3512.68994140625,7347.68994140625,78.59,6.3187,10.271428516932897,10.130952335539318,10.14739304014966,10.217181226198623,0.06978818604896375,0.30023632158541946,10.731424978710157,9.53047969236848,10.42973174365325,9.420000076293944,2.242835096687416,-0.007092918542028981,10.420000076293944,11.544124622475696,11.032012111495217,10.594344439484908,10.420000076293944,10.420000076293944,10.923788,-3.3706543,-1.6778309,-0.2941103,-0.1630493,-0.36180305
