,Date,High,Low,Open,Close_x,Volume,Adj Close,JPM,MS,LIBOR,VIX,SS Close,DJI Close,IXIC Close,GSPC Close,N225 Close,HSI Close,FCHI Close,GDAXI Close,DEXJPUS,DEXCHUS,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum,log_momentum,sentiment,Close_y,Fourier3,Fourier6,Fourier9,Close,ARIMA,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6
0,2012-09-04,70.63845825195312,70.10768890380861,70.4000015258789,70.29230499267578,120300.0,44.37014770507813,37.0099983215332,15.510000228881836,0.1514,17.98,2043.6490478515625,13035.9404296875,3075.06005859375,1404.93994140625,8775.509765625,19429.91015625,3399.0400390625,6932.580078125,78.35,6.3465,69.73955971854073,71.37472497849238,70.29230499267578,70.29230499267578,0.0,1.805131689973172,74.9849883584387,67.76446159854603,70.29230499267578,69.29230499267578,4.238333860963836,0.0,70.29230499267578,78.18853883336931,72.86627946415159,73.29417255419195,70.29230499267578,70.29230499267578,2.0573668,7.8652906,0.04059202,-0.13416514,-0.1024323,-0.14325613
1,2012-09-05,68.69230651855469,68.07691955566406,68.55384826660156,68.24615478515625,134000.0,44.066490173339844,37.11000061035156,15.68000030517578,0.1514,17.74,2037.6810302734373,13047.48046875,3069.27001953125,1403.43994140625,8679.8203125,19145.0703125,3405.7900390625,6964.68994140625,78.34,6.3489,69.73955971854073,71.37472497849238,69.22988084646371,69.18397363026935,-0.04590721619435102,1.805131689973172,74.9849883584387,67.76446159854603,68.75769233703613,67.24615478515625,4.208359838931337,0.0,68.24615478515625,78.30172663783813,72.97086978733314,73.40554812173227,68.24615478515625,68.24615478515625,2.4873528,7.9588466,0.18424137,-0.16453187,0.05336081,0.026869182
2,2012-09-06,69.39231109619139,68.29230499267578,68.46923065185547,69.16922760009766,125100.0,44.66251754760742,38.68999862670898,16.25,0.1529,15.6,2051.91796875,13292.0,3135.81005859375,1432.1199951171875,8680.5703125,19209.30078125,3509.8798828125,7167.330078125,78.96,6.3428,69.73955971854073,71.37472497849238,69.20808872393988,69.17821825128779,-0.02987047265209242,1.805131689973172,74.9849883584387,67.76446159854603,69.0426013653095,68.16922760009766,4.22199325481465,0.09692316763954144,69.16922760009766,78.41405121510407,73.07919940290431,73.51887374662608,69.16922760009766,69.16922760009766,2.3364942,7.549185,0.036615252,-0.47501743,-0.06994707,0.43471807
3,2012-09-07,69.71538543701172,69.23076629638672,69.23076629638672,69.33846282958984,94100.0,44.77178955078125,39.29999923706055,17.079999923706055,0.1524,14.38,2127.761962890625,13306.6396484375,3136.419921875,1437.9200439453125,8871.650390625,19802.16015625,3519.050048828125,7214.5,78.14,6.3428,69.73955971854073,71.37472497849238,69.244535626586,69.22880120222595,-0.015734424360047683,1.805131689973172,74.9849883584387,67.76446159854603,69.24230785369873,68.33846282958984,4.224472753451878,0.0,69.33846282958984,78.52549664719595,73.19127189053376,73.63411200376117,69.33846282958984,69.33846282958984,2.1941695,7.3561306,-0.02540007,-0.6067127,0.1717379,0.04920781
4,2012-09-10,71.13845825195312,70.015380859375,70.31538391113281,70.06922912597656,153400.0,45.2436408996582,38.7599983215332,16.610000610351562,0.1524,16.28,2134.89306640625,13254.2900390625,3104.02001953125,1429.0799560546875,8869.3701171875,19827.169921875,3506.050048828125,7213.7001953125,78.24,6.3375,69.73955971854073,71.37472497849238,69.43578545062459,69.45714246543922,0.02135701481462604,1.805131689973172,74.9849883584387,67.76446159854603,69.79586672191778,69.06922912597656,4.235109322273819,0.0,70.06922912597656,78.63604722614153,73.30708702617048,73.75122704204001,70.06922912597656,70.06922912597656,2.0538654,7.3694224,0.079666905,-0.0812613,0.07011564,0.17592597
5,2012-09-11,70.5,69.68461608886719,69.88461303710939,70.38461303710938,118300.0,45.44729232788086,39.599998474121094,17.25,0.1524,16.41,2120.553955078125,13323.3603515625,3104.530029296875,1433.56005859375,8807.3798828125,19857.880859375,3537.300048828125,7310.10986328125,77.78,6.3349,69.73955971854073,71.37472497849238,69.62582804862015,69.68256660840052,0.05673855978037067,1.805131689973172,74.9849883584387,67.76446159854603,70.18890341035612,69.38461303710939,4.239665128767851,0.0,70.38461303710938,78.74568745715744,73.4266407451699,73.87018465546532,70.38461303710938,70.38461303710938,2.026875,7.275645,0.0050217686,-0.26992154,-0.010844164,-0.045555558
6,2012-09-12,71.0923080444336,70.46154022216797,70.73076629638672,70.67692565917969,64600.0,45.63603591918945,39.91999816894531,17.420000076293945,0.1524,15.8,2126.553955078125,13333.349609375,3114.31005859375,1436.56005859375,8959.9599609375,20075.390625,3543.7900390625,7343.52978515625,77.86,6.3261,69.73955971854073,71.37472497849238,69.81276030991259,69.90445435158503,0.09169404167244012,1.805131689973172,74.9849883584387,67.76446159854603,70.5144004088853,69.67692565917969,4.243869210721004,0.0,70.67692565917969,78.85440206178926,73.5499251087648,73.99095234314328,70.67692565917969,70.67692565917969,1.8867189,7.2015076,-0.1207655,-0.6043434,-0.11493236,-0.34218797
7,2012-09-13,72.43846130371094,70.38461303710938,70.43846130371094,72.07691955566406,111400.0,46.54001235961914,41.400001525878906,17.899999618530273,0.1524,14.05,2110.37890625,13539.8603515625,3155.830078125,1459.989990234375,8995.150390625,20047.630859375,3502.090087890625,7310.31982421875,77.41,6.3294,69.9945046561105,71.37472497849238,70.17757246647852,70.35781435523954,0.18024188876101727,1.805131689973172,74.9849883584387,67.76446159854603,71.55623863266737,71.07691955566406,4.263762664638623,-0.4340811312477699,72.07691955566406,78.9621759810002,73.67692827399941,74.11349935808298,72.07691955566406,72.07691955566406,1.6217688,6.9739075,-0.13673878,0.22736315,1.4204458,-0.92003983
8,2012-09-14,73.61538696289062,72.44615173339844,72.44615173339844,73.53076934814453,191700.0,47.47876358032226,41.56999969482422,18.239999771118164,0.1539,14.51,2123.846923828125,13593.3701171875,3183.949951171875,1465.77001953125,9159.3896484375,20629.779296875,3581.580078125,7412.1298828125,78.22,6.3145,70.74944959368024,71.37472497849238,70.67458985686146,70.98553778774101,0.3109479308795926,1.805131689973172,74.9849883584387,67.76446159854603,72.87265932408549,72.53076934814453,4.284010876628376,0.0,73.53076934814453,79.06899437820826,73.8076344672436,74.23779674470632,73.53076934814453,73.53076934814453,1.2618703,6.5792274,-0.14032358,0.17588113,0.13359506,0.4761576
9,2012-09-18,71.28461456298828,70.75384521484375,71.11538696289062,70.82307434082031,65900.0,45.73040390014648,41.2599983215332,17.6299991607666,0.1519,14.18,2059.54296875,13564.6396484375,3177.800048828125,1459.3199462890625,9123.76953125,20601.9296875,3512.68994140625,7347.68994140625,78.59,6.3187,70.98571341378349,71.37472497849238,70.69507927049462,70.95475102769005,0.2596717571954485,1.805131689973172,74.9849883584387,67.76446159854603,71.50624619491572,69.82307434082031,4.245964533088191,0.0,70.82307434082031,79.2797063904253,74.0800730569158,74.4915359134256,70.82307434082031,70.82307434082031,1.6693965,6.939352,-0.21454228,-0.70284116,0.023891995,-0.184809
