Date, sentiment
2012-09-04,-0.3561996981115094
2012-09-12,0.08700966274828881
2012-09-13,0.1752900441967702
2012-09-19,0.3770092495969759
2012-09-20,-0.19312608845413196
2012-09-21,-0.9395993350389821
2012-09-25,0.9925952572736648
2012-09-27,0.5590051234529311
2012-09-28,-0.9261918736515816
2012-10-01,-0.3025693279874482
2012-10-02,-0.4925590536100104
2012-10-03,0.8960966469455796
2012-10-04,-0.7734842754124467
2012-10-08,0.9378237945722868
2012-10-09,0.5846184467387474
2012-10-12,0.6390205136251641
2012-10-16,0.21425385445290032
2012-10-18,0.8214749411168178
2012-10-22,0.1883740270853136
2012-10-23,-0.5793184902083411
2012-10-26,0.0033445412960502185
2012-10-29,0.6288545670297302
2012-10-30,0.0670456360087246
2012-10-31,-0.3335535511034084
2012-11-01,-0.12892592859625185
2012-11-02,0.1712819889245223
2012-11-05,-0.9565070203296148
2012-11-08,-0.5522440198744734
2012-11-09,-0.4993687412695445
2012-11-11,-0.8349528042094798
2012-11-12,0.025644053864593445
2012-11-14,-0.6795769294816462
2012-11-15,0.29896561071599426
2012-11-22,-0.6054080099576822
2012-11-23,-0.4129415942854926
2012-11-29,0.11602963977648868
2012-12-01,-0.760751572749105
2012-12-03,0.8666965289694826
2012-12-05,0.13496912205236256
2012-12-06,-0.4617654543411786
2012-12-07,0.041286196345278636
2012-12-10,-0.4702970549551695
2012-12-19,0.9873453908136758
2012-12-20,-0.08180018819992685
2012-12-27,-0.4386450974860572
2013-01-02,-0.2286558502911724
2013-01-03,0.21310485429423684
2013-01-07,0.16287702511199909
2013-01-08,0.08284620836524496
2013-01-10,-0.22348530174797945
2013-01-14,-0.3665634845014432
2013-01-18,-0.942593785818288
2013-01-22,-0.14180837799171875
2013-01-23,-0.22537066070118775
2013-01-28,-0.9359263447548559
2013-01-30,-0.3083155222073428
2013-02-01,-0.5006556670392179
2013-02-07,-0.4776932068692144
2013-02-08,0.997965810066736
2013-02-15,-0.8812346119134746
2013-02-26,0.029072885449818453
2013-02-27,-0.10596839977701118
2013-02-28,0.3883845334731271
2013-03-04,0.5735303265200582
2013-03-05,-0.6422434467606115
2013-03-07,0.06512925762350652
2013-03-12,-0.36754374720721594
2013-03-13,0.5813057200041493
2013-03-14,0.6289873660171538
2013-03-19,-0.42588795388560574
2013-03-20,-0.08999683171463467
2013-03-26,0.5108612776391561
2013-03-28,-0.5151776304679774
2013-04-02,0.017351818528683168
2013-04-03,-0.1559666436645024
2013-04-11,-0.3432205690682224
2013-04-16,0.1352439430311898
2013-04-18,-0.8402119073553975
2013-04-29,0.5363773766364726
2013-05-07,0.1152082674773325
2013-05-08,-0.15363550683973234
2013-05-13,-0.9628968609277002
2013-05-15,0.3216491397069461
2013-05-16,-0.3182169836338033
2013-05-17,-0.6423822874273708
2013-05-20,0.7466214391084693
2013-05-21,0.4162089160408522
2013-05-22,0.3918839389211117
2013-05-23,-0.2136330365691581
2013-05-26,0.13641987989542215
2013-05-31,-0.03801230680571244
2013-06-07,-0.5625663773005254
2013-06-12,0.052958197856129485
2013-07-05,0.5088181713514723
2013-07-10,0.6018578341583138
2013-07-15,-0.4787943823526961
2013-08-06,0.3350888776283845
2013-08-07,-0.5803356828159979
2013-08-08,0.6586718437024555
2013-08-15,0.4645656125854127
2013-08-19,0.20021202014963516
2013-08-20,0.3235157519824989
2013-08-21,0.05564837529997795
2013-08-22,0.44289762341915484
2013-08-26,-0.1909286852523382
2013-08-28,0.4498884200703417
2013-09-03,0.8501470446712656
2013-09-06,-0.00767352009835709
2013-09-12,-0.34642437261452197
2013-09-17,0.8953611735454069
2013-09-20,0.17806265826962786
2013-09-24,0.7220379159153902
2013-09-25,0.037054976260754824
2013-10-10,-0.9453717754789406
2013-10-15,0.7046183423880277
2013-10-24,0.46386049852157474
2013-10-27,-0.3605368031460676
2013-10-28,-0.15128271159683626
2013-11-01,0.16344480098863134
2013-11-07,0.4521435449473237
2013-11-11,-0.8441931109339176
2013-11-13,0.3026155754684152
2013-11-20,-0.8749022243949593
2013-11-21,0.0708468103128395
2013-11-22,0.2252010709025991
2013-11-25,-0.007291807370796076
2013-11-26,-0.8744803227245366
2013-11-29,-0.1895095798074784
2013-12-01,-0.7916648120062262
2013-12-02,-0.6792349127771873
2013-12-03,-0.1350058396722309
2013-12-05,-0.3597371401616124
2013-12-06,-0.5320821071709443
2013-12-12,0.024006230179224985
2013-12-13,-0.034879286908669815
2013-12-18,-0.6007306580239524
2013-12-19,-0.014016163755883215
2013-12-20,-0.41865454355670145
2013-12-22,0.4922187747555002
2013-12-23,-0.9665387417695076
2013-12-24,0.2355376136512597
2013-12-25,0.17224478868424709
2013-12-26,0.9147043310943456
2013-12-27,0.6180343023454964
2013-12-30,-0.4089215004818863
2013-12-31,0.4079918280479141
2014-01-02,-0.14358822190507126
2014-01-03,0.1234864788618455
2014-01-09,0.6959888431477907
2014-01-10,-0.2816986002591028
2014-01-12,0.0027936051575570002
2014-01-13,-0.1507803787877049
2014-01-14,0.6590754733534807
2014-01-16,0.3708419647169612
2014-01-17,0.9398381172281464
2014-01-21,-0.4376722506555889
2014-01-22,-0.16102164832092591
2014-01-23,-0.3817301315420014
2014-01-30,-0.275559112376897
2014-01-31,0.5215421373678033
2014-02-04,-0.4513743410507196
2014-02-16,0.0024471141596817962
2014-02-18,0.6400365734883722
2014-02-19,-0.02355310253837195
2014-02-24,-0.34820782433500885
2014-02-25,0.2611511914419582
2014-02-26,-0.041006540597170994
2014-03-05,-0.7960909764562479
2014-03-11,0.5381220939421492
