Date, sentiment
2012-09-04,0.7443298534295281
2012-09-12,0.35463669322359825
2012-09-19,-0.5072920567945931
2012-10-08,0.41396777269726814
2012-10-11,-0.7461146970998054
2012-10-24,0.09802216635257176
2012-10-25,0.4356369983178432
2012-11-12,0.14416939282577898
2012-11-14,-0.03999066069353083
2012-11-20,-0.22296136430597646
2012-11-26,-0.7482920648516185
2012-11-28,0.8732847239718347
2012-11-29,0.5041528385821361
2012-12-05,-0.4346104587870137
2012-12-31,-0.1250889585351722
2013-01-23,0.6633461032353196
2013-01-24,-0.0381337815959949
2013-02-22,0.9438099732919574
2013-03-05,0.3067539673978921
2013-03-11,-0.19166105533155145
2013-03-20,-0.8860318984088682
2013-03-26,0.6237985643325767
2013-03-28,-0.36709155540005534
2013-04-01,0.6536969580137852
2013-04-02,-0.8818407771330581
2013-04-15,-0.3094757241817947
2013-04-19,0.9709819342209284
2013-04-25,-0.055640749847032545
2013-04-26,0.08236061860463795
2013-05-28,-0.04870391513173278
2013-05-30,0.7608268883615761
2013-06-18,0.09984785224455159
2013-06-27,-0.5268741623891449
2013-07-01,-0.9628430606846192
2013-07-03,-0.019455584838081852
2013-07-09,-0.1598389451126192
2013-07-10,0.1964279900842878
2013-07-12,-0.4646509157297476
2013-07-19,0.2863803612706295
2013-07-24,-0.6114369379173403
2013-07-25,0.9985280890581802
2013-08-05,-0.445649091639299
2013-08-16,-0.3515318964449681
2013-08-19,-0.5817079305838826
2013-08-23,0.8356670006636107
2013-08-29,-0.34809758435890625
2013-08-30,0.0753877266965739
2013-09-10,0.260447385464291
2013-09-20,0.6052608435189966
2013-10-08,0.39261687449503135
2013-10-11,-0.1845574388413873
2013-10-17,-0.41147750077792655
2013-10-21,0.2597647963171982
2013-10-23,0.43678015272600396
2013-10-24,0.07909620320618282
2013-11-20,0.7400394062288784
2013-11-21,-0.9978098413634141
2013-12-26,0.4414844434257759
2014-01-14,0.3758205210648848
2014-01-15,-0.7509305496197551
2014-01-24,0.8865542164749798
2014-01-29,0.9164102072188031
2014-01-30,0.26927518478324947
2014-02-24,0.2753453051112438
2014-03-06,-0.8636362399310806
2014-03-18,0.33059844609376543
2014-03-28,0.7273072549808095
2014-03-31,0.9412651147620674
2014-04-21,-0.4352704086504096
2014-04-24,0.6255000367269168
2014-05-02,-0.8452299334175069
2014-05-16,-0.6078226476370312
2014-05-21,0.15566348949618658
2014-05-29,-0.7168760750028381
2014-06-02,-0.8582643594785886
2014-06-03,-0.6593410274975016
2014-06-11,-0.1233035191310563
2014-06-16,-0.8673479065649827
2014-06-18,0.9623175943561536
2014-07-03,-0.4429676062773072
2014-07-16,-0.6863178713726918
2014-07-17,-0.0383959740647486
2014-07-23,0.2784948379507657
2014-07-24,0.1614714419790989
2014-07-28,0.18274504010517226
2014-07-30,-0.7033105508436648
2014-08-07,-0.8934608732967577
2014-08-13,0.5066579924388723
2014-08-18,-0.3214897588173391
2014-08-19,-0.002517445725073841
2014-09-10,0.06349887402383447
2014-09-15,-0.843723384934626
2014-09-18,0.7024401575309587
2014-09-29,-0.7790735673486799
2014-09-30,-0.017054852321670918
2014-10-03,-0.7576187928731002
2014-10-07,-0.6000625679453162
2014-10-08,-0.9293233343070056
2014-10-22,-0.5711102903452436
2014-10-23,-0.06572013360460882
2014-10-24,-0.01077871258583296
2014-10-25,-0.4937820721097917
2014-10-30,-0.8298715061346931
2014-11-04,-0.6346076418443216
2014-11-05,-0.8562663895494621
2014-11-07,-0.10905378771965267
2014-11-14,0.6054721982333642
2014-11-19,0.8337405958482209
2014-11-24,0.6082979891588594
2014-11-25,0.5633183308584853
2014-12-01,0.0546362255727697
2014-12-09,-0.16605781469353986
2014-12-10,-0.466776886729732
2014-12-22,-0.26460629905863864
2014-12-23,-0.48867090886991493
2015-01-08,0.26461267863270643
2015-01-09,-0.8278022977608395
2015-01-20,-0.03213182384423258
2015-01-26,-0.5401173569481055
2015-01-29,-0.478319647254825
2015-02-10,0.1274830341310389
2015-02-17,-0.6278985579478673
2015-02-18,0.5297636376931227
2015-02-23,-0.9300898799089914
2015-02-26,0.4558325192797095
2015-03-04,-0.6359387405408456
2015-03-10,-0.03494356626176476
2015-03-16,-0.8101474240648672
2015-03-17,0.3114482972015033
2015-03-18,-0.46330462546923706
2015-03-26,0.1155814330346343
2015-03-30,0.7866080060793528
2015-03-31,0.2864765003832401
2015-04-02,-0.6295154669108889
2015-04-17,-0.3462462409715599
2015-04-19,-0.0044474964002672035
2015-04-20,0.4556636527163065
2015-04-21,0.4493694890771769
2015-04-23,0.6481016097972568
2015-04-24,-0.6057495757985778
2015-04-29,0.16200484101386234
2015-05-06,-0.3612349636855981
2015-05-12,-0.4298219463455193
2015-05-19,0.30698415068856155
2015-05-28,0.37446603355419983
2015-05-29,0.9357461486011942
2015-06-08,-0.2885435819861641
2015-06-09,-0.4345245915000886
2015-06-10,0.22673808999952402
2015-06-12,0.6854009381604924
2015-06-16,-0.14467178284676707
2015-06-19,-0.614288668760699
2015-07-01,0.6721328359582646
2015-07-06,-0.3369944055755725
2015-07-08,-0.1679619203266436
2015-07-21,0.04932577817511618
2015-07-23,-0.08146230850233063
2015-07-24,-0.6689258544983505
2015-07-28,0.3114993093057021
2015-08-26,-0.5976255503428913
2015-08-27,-0.21483987000168714
2015-09-02,0.6064719608123246
2015-09-16,0.9687071555885745
2015-09-17,-0.7001145771228348
2015-09-23,-0.8277613049695574
2015-09-28,-0.13793284359126098
2015-09-29,0.5518973952186472
2015-09-30,0.6977120836487938
2015-10-08,-0.38348887513686897
